Region,Year,Quarter,AACI
EN,1999,1,-0.291799852
EN,1999,2,-0.490428036
EN,1999,3,-0.305846473
EN,1999,4,-0.651380135
EN,2000,1,-0.052047435
EN,2000,2,-0.281211352
EN,2000,3,-0.348664662
EN,2000,4,-0.090909419
EN,2001,1,-0.525045176
EN,2001,2,0.863475582
EN,2001,3,-0.351915081
EN,2001,4,-0.122972812
EN,2002,1,2.102503781
EN,2002,2,0.819791309
EN,2002,3,0.948608535
EN,2002,4,0.400658615
EN,2003,1,-0.297408075
EN,2003,2,0.186044055
EN,2003,3,0.714176884
EN,2003,4,0.858542154
EN,2004,1,1.763236935
EN,2004,2,-0.414273647
EN,2004,3,-0.231381599
EN,2004,4,0.264685116
EN,2005,1,-0.220069027
EN,2005,2,-0.45037125
EN,2005,3,0.179759704
EN,2005,4,0.888762453
EN,2006,1,0.627718019
EN,2006,2,0.399351545
EN,2006,3,-0.036772667
EN,2006,4,-0.218103366
EN,2007,1,-0.573527254
EN,2007,2,0.86211684
EN,2007,3,-0.283596745
EN,2007,4,0.061853027
EN,2008,1,-0.457855031
EN,2008,2,-0.487744964
EN,2008,3,-0.160342129
EN,2008,4,-0.148091694
EN,2009,1,0.179367866
EN,2009,2,-0.629548572
EN,2009,3,2.050630272
EN,2009,4,0.410449598
EN,2010,1,-0.416466892
EN,2010,2,-0.137565123
EN,2010,3,0.214279128
EN,2010,4,0.471298594
EN,2011,1,-0.428777916
EN,2011,2,-0.143688849
EN,2011,3,-0.353935025
EN,2011,4,-0.417438371
EN,2012,1,-0.519728062
EN,2012,2,-0.629548572
EN,2012,3,0.662199112
EN,2012,4,-0.392132543
EN,2013,1,-0.194466368
EN,2013,2,-0.629548572
EN,2013,3,0.02797475
EN,2013,4,1.888121791
EN,2014,1,0.652224985
EN,2014,2,0.360400494
EN,2014,3,-0.432740508
EN,2014,4,1.185385145
EN,2015,1,-0.046789511
EN,2015,2,0.510063666
EN,2015,3,0.073165133
EN,2015,4,-0.241801812
EN,2016,1,-0.251785908
EN,2016,2,2.907276343
EN,2016,3,2.157362978
EN,2016,4,0.735344379
EN,2017,1,1.279520787
EN,2017,2,0.427947662
EN,2017,3,1.203127983
